store_nbr,family,min,max,default_rank,comb,id,date,sales,onpromotion,city,state,store_type,cluster,transactions,local_holiday,regional_holiday,index,type,locale,locale_name,description,transferred,category,category_reg,national_holiday,holiday_true
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,5,2013-01-01,0.0,0,Quito,Pichincha,D,13,,False,False,41.0,Holiday,National,Ecuador,Primer dia del ano,False,good,Dia,True,True
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,7,2013-01-01,0.0,0,Quito,Pichincha,D,13,,False,False,41.0,Holiday,National,Ecuador,Primer dia del ano,False,good,Dia,True,True
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,1787,2013-01-02,470.652,0,Quito,Pichincha,D,13,2111.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,1789,2013-01-02,1060.0,0,Quito,Pichincha,D,13,2111.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,3569,2013-01-03,310.655,0,Quito,Pichincha,D,13,1833.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,3571,2013-01-03,836.0,0,Quito,Pichincha,D,13,1833.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,5351,2013-01-04,198.366,0,Quito,Pichincha,D,13,1863.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,5353,2013-01-04,827.0,0,Quito,Pichincha,D,13,1863.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,7133,2013-01-05,301.057,0,Quito,Pichincha,D,13,1509.0,False,False,42.0,Work Day,National,Ecuador,Recupero puente Navidad,False,good,Navidad,True,True
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,7135,2013-01-05,811.0,0,Quito,Pichincha,D,13,1509.0,False,False,42.0,Work Day,National,Ecuador,Recupero puente Navidad,False,good,Navidad,True,True
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,8915,2013-01-06,147.182,0,Quito,Pichincha,D,13,520.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,8917,2013-01-06,257.0,0,Quito,Pichincha,D,13,520.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,10697,2013-01-07,309.676,0,Quito,Pichincha,D,13,1807.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,10699,2013-01-07,829.0,0,Quito,Pichincha,D,13,1807.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,12479,2013-01-08,321.851,0,Quito,Pichincha,D,13,1869.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,12481,2013-01-08,827.0,0,Quito,Pichincha,D,13,1869.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,14261,2013-01-09,298.582,0,Quito,Pichincha,D,13,1910.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,14263,2013-01-09,906.0,0,Quito,Pichincha,D,13,1910.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,16043,2013-01-10,303.515,0,Quito,Pichincha,D,13,1679.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,16045,2013-01-10,683.0,0,Quito,Pichincha,D,13,1679.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,17825,2013-01-11,296.43298,0,Quito,Pichincha,D,13,1813.0,False,False,,,,,,,,,False,False
1,CLEANING,2013-01-01,2017-08-15,8,1_CLEANING,17827,2013-01-11,664.0,0,Quito,Pichincha,D,13,1813.0,False,False,,,,,,,,,False,False
1,BREAD/BAKERY,2013-01-01,2017-08-15,6,1_BREAD/BAKERY,19607,2013-01-12,321.681,0,Quito,Pichincha,D,13,1473.0,False,False,43.0,Work Day,National,Ecuador,Recupero puente primer dia del ano,False,good,Dia,True,True
